# Quiz2.csv run at 2000-01-01 00:00:00 AWST on 56 powerflow objects (not all are nodes)
node_name,voltA_real,voltA_imag,voltB_real,voltB_imag,voltC_real,voltC_imag
node_650,2401.777100,0.000000,-1200.888600,-2080.000000,-1200.888600,2080.000000
node_632_1,2416.714995,0.071112,-1208.305865,-2092.973161,-1208.405133,2092.939582
node_632,2416.714995,0.071112,-1208.305865,-2092.973161,-1208.405133,2092.939582
node_633,2416.714995,0.071112,-1208.305865,-2092.973161,-1208.405133,2092.939582
node_634,278.851730,0.008205,-139.419908,-241.496903,-139.431361,241.493029
node_684,2117.690580,-93.927788,0.000000,0.000000,-1143.945207,2016.910367
node_680,2138.164527,-92.433550,-1295.603342,-1930.865419,-1141.765835,2017.511454
cap_001,2115.394534,-95.559043,-1274.380601,-1899.889431,-1125.876591,2000.265310
cap_002,0.000000,0.000000,0.000000,0.000000,-1141.085537,2018.780373
load_645,0.000000,0.000000,-1197.226255,-2065.003406,-1208.235974,2100.940856
load_646,0.000000,0.000000,-1193.993315,-2057.093182,-1208.163330,2103.212949
load_652,2088.607805,-76.364717,0.000000,0.000000,0.000000,0.000000
load_671,2138.164527,-92.433550,-1295.603342,-1930.865419,-1141.765835,2017.511454
load_675,2115.394534,-95.559043,-1274.380601,-1899.889431,-1125.876591,2000.265310
load_692,2138.154434,-92.357141,-1295.544607,-1930.899037,-1141.797393,2017.489966
load_611,0.000000,0.000000,0.000000,0.000000,-1141.085537,2018.780373
load_671_1,2138.164527,-92.433550,-1295.603342,-1930.865419,-1141.765835,2017.511454
load_632_1,2347.859146,-23.014443,-1229.318217,-2051.281361,-1189.034746,2073.416427
