# Quiz2_same_data_table.csv run at 2000-01-01 00:00:00 AWST on 56 powerflow objects (not all are nodes)
node_name,voltA_real,voltA_imag,voltB_real,voltB_imag,voltC_real,voltC_imag
node_650,2401.777100,0.000000,-1200.888600,-2080.000000,-1200.888600,2080.000000
node_632_1,2416.739200,0.020494,-1208.355073,-2092.972657,-1208.390211,2092.940297
node_632,2416.739200,0.020494,-1208.355073,-2092.972657,-1208.390211,2092.940297
node_633,2409.365198,-2.727235,-1207.722984,-2087.809993,-1205.045312,2087.566142
node_684,2360.307757,-128.972959,0.000000,0.000000,-1062.123002,2015.711615
node_680,2365.153406,-128.140581,-1228.742912,-2111.325441,-1068.305327,2018.533332
cap_001,2346.563923,-139.591489,-1238.738037,-2110.952965,-1062.443062,2013.454990
cap_002,0.000000,0.000000,0.000000,0.000000,-1054.298357,2013.796602
load_634,271.232236,-3.605505,-138.726724,-235.156628,-134.376078,237.459890
load_645,0.000000,0.000000,-1197.529085,-2058.768975,-1208.862314,2102.472416
load_646,0.000000,0.000000,-1194.468478,-2047.133031,-1209.178097,2105.657496
load_652,2350.324092,-123.581283,0.000000,0.000000,0.000000,0.000000
load_671,2365.153406,-128.140581,-1228.742912,-2111.325441,-1068.305327,2018.533332
load_675,2346.563923,-139.591489,-1238.738037,-2110.952965,-1062.443062,2013.454990
load_692,2365.133964,-128.118824,-1228.741260,-2111.316192,-1068.324600,2018.509404
load_611,0.000000,0.000000,0.000000,0.000000,-1054.298357,2013.796602
load_671_1,2365.153406,-128.140581,-1228.742912,-2111.325441,-1068.305327,2018.533332
load_632_1,2404.618935,-31.993295,-1212.663740,-2096.425850,-1170.664250,2073.643216
