# Quiz_2_Current_Dump.csv run at 2000-01-01 00:00:00 AWST on 57 links
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag
ovl_632_645,0.000000,0.000000,-184.716897,-87.713689,0.000000,-0.000000
ovl_632_633,67.464309,-52.565699,-60.495644,-23.127952,12.021595,66.772032
ovl_645_646,0.000000,0.000000,-100.714868,-54.061113,-0.000000,-0.000000
ovl_632_1_632,495.288975,-242.832000,-409.207559,-265.816313,8.168663,652.773337
ovl_671_684,52.068397,-43.406256,0.000000,0.000000,-32.117251,74.192184
ovl_671_680,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ovl_684_611,0.000000,0.000000,0.000000,0.000000,-32.117251,74.192184
undgl_692_675,211.690867,-28.428033,34.480024,-54.893596,-32.571881,136.538495
undgl_684_652,52.068397,-43.406256,0.000000,0.000000,0.000000,0.000000
ovl_632_load_632_1,427.824666,-190.266300,-163.995019,-154.974671,-3.852932,586.001305
ovl_load_632_1_load_671,423.133788,-187.113696,-141.593751,-147.014562,-10.389184,543.548978
reg_001,498.384532,-244.349700,-411.765107,-267.477665,8.219717,656.853171
xfm_1,67.464309,-52.565699,-60.495644,-23.127952,12.021595,66.772032
switch_001,211.690867,-28.428033,34.480024,-54.893596,-1.491713,239.418876
