# dump.csv run at 1999-12-31 19:00:00 EST on 54 powerflow objects (not all are nodes)
node_name,voltA_real,voltA_imag,voltB_real,voltB_imag,voltC_real,voltC_imag
633,2233.894334,94.133152,-1090.057471,-1436.646581,-1052.107367,2132.362609
630,2416.704754,0.066837,-1208.184357,-2092.987619,-1208.419604,2092.938135
632,2233.894334,94.133152,-1090.057471,-1436.646581,-1052.107367,2132.362609
650,2401.777100,0.000000,-1200.888600,-2080.000000,-1200.888600,2080.000000
680,2046.237678,141.814396,-979.966033,-882.479699,-910.688344,2138.786547
684,2025.263408,136.561596,0.000000,0.000000,-914.166124,2133.150303
634,257.757039,10.861518,-125.775862,-165.766913,-121.397004,246.041840
645,0.000000,0.000000,-1070.345762,-1400.937040,-1050.503540,2143.094101
646,0.000000,0.000000,-1064.626207,-1390.840273,-1050.013628,2146.141948
652,1993.435743,150.986834,0.000000,0.000000,0.000000,0.000000
671,2046.237678,141.814396,-979.966033,-882.479699,-910.688344,2138.786547
675,2090.670628,135.571460,-553.572326,-629.395889,-736.194854,2069.568609
692,2046.220691,141.893242,-979.821968,-882.615272,-910.727835,2138.771480
611,0.000000,0.000000,0.000000,0.000000,-912.697690,2130.669981
6711,2046.237678,141.814396,-979.966033,-882.479699,-910.688344,2138.786547
6321,2187.886424,106.331469,-1061.406676,-1296.269652,-1013.965268,2133.336693
CAP1,2090.670628,135.571460,-553.572326,-629.395889,-736.194854,2069.568609
CAP2,2090.670628,135.571460,-553.572326,-629.395889,-736.194854,2069.568609
